# e_id	Ind1	Head1	Ind2	Head2	Weight
8	3	True	4	False	128.0
42	58	True	60	False	136.0
49	69	True	71	False	72.0
84	170	True	172	False	64.0
94	227	False	935	False	72.0
95	227	True	937	True	8.0
104	255	False	259	False	8.0
105	255	False	261	False	104.0
108	256	True	260	True	8.0
126	325	False	331	False	88.0
141	371	True	373	False	120.0
149	377	False	381	False	56.0
170	400	True	402	False	32.0
202	486	True	488	True	56.0
211	490	True	492	False	48.0
229	527	True	529	False	56.0
249	578	True	579	False	8.0
254	582	False	584	False	72.0
256	582	True	584	False	144.0
257	582	True	584	True	48.0
259	583	True	584	False	72.0
272	667	True	668	False	56.0
303	794	False	800	False	3192.0
317	824	True	826	False	64.0
335	877	True	879	False	144.0
350	879	True	881	False	112.0
365	883	True	885	False	56.0
381	887	True	889	True	56.0
395	891	True	893	False	64.0
402	893	True	895	True	56.0
409	898	True	899	False	72.0
412	901	False	904	False	5480.0
430	916	True	918	False	72.0
438	918	True	920	False	56.0
457	939	True	941	False	64.0
486	1042	True	1044	False	160.0
504	1083	True	1085	False	8.0
511	1102	True	1105	False	48.0
526	1154	True	1156	True	112.0
546	1255	True	1257	False	56.0
554	1282	True	1284	False	16.0
584	1366	True	1367	False	72.0
640	1460	True	1462	True	376.0
646	1474	True	1476	False	8.0
652	1480	True	1482	False	224.0
681	1609	True	1611	False	208.0
711	1657	False	1658	False	8.0
734	1726	True	1728	False	328.0
753	1773	True	2112	False	328.0
757	1775	True	2112	True	280.0
774	1793	True	1795	False	128.0
786	1795	True	1797	False	48.0
809	1799	False	1801	False	56.0
822	1801	True	1803	False	80.0
831	1803	False	1805	False	88.0
840	1805	True	1807	False	64.0
846	1810	True	1819	True	88.0
905	1926	False	1928	False	96.0
910	1928	True	1930	False	128.0
919	1951	True	1953	False	56.0
940	2023	True	2025	False	48.0
966	2067	True	2069	False	16.0
1039	2174	True	2176	False	72.0
1050	2232	True	2242	False	5216.0
1054	2234	True	2237	False	144.0
1055	2234	True	2237	True	64.0
1057	2234	True	2238	True	112.0
1059	2234	True	2239	False	288.0
1060	2234	True	2239	True	224.0
1062	2234	True	2240	True	72.0
1067	2235	True	2239	False	272.0
1072	2237	True	2238	False	56.0
1074	2237	True	2239	False	192.0
1075	2237	True	2239	True	96.0
1077	2237	True	2240	False	64.0
1079	2238	True	2239	False	128.0
1082	2239	True	2240	False	168.0
1083	2239	True	2240	True	88.0
1092	2244	True	2246	False	152.0
1108	2354	True	2355	False	48.0
1114	2355	True	2356	True	152.0
1120	2355	True	2365	True	48.0
1123	2355	True	2368	True	64.0
1128	2355	True	2379	False	200.0
1129	2356	False	2357	False	104.0
1135	2356	True	2365	True	56.0
1138	2356	True	2368	True	64.0
1143	2356	True	2379	False	128.0
1162	2365	True	2368	True	64.0
1165	2365	True	2370	True	48.0
1172	2365	True	2381	False	224.0
1181	2367	True	2381	False	64.0
1212	2372	True	2373	True	16.0
