sample	diploid_frac_Cd	diploid_frac_conf	squid_frac_Cd	squid_frac_conf
prad_TCGA-CH-5772-01A-11R-1580-07	0.7872340425531915	0.8604651162790697	0.19444444444444445	0.05426356589147287
luad_TCGA-38-4631-01A-01R-1755-07	0.9139784946236559	0.9444444444444444	0.4666666666666667	0.07777777777777778
prad_TCGA-CH-5792-01A-11R-1580-07	0.8717948717948718	0.8717948717948718	0.3333333333333333	0.0641025641025641
prad_TCGA-EJ-5501-01A-01R-1580-07	0.7112676056338029	0.9805825242718447	0.3442622950819672	0.20388349514563106
brca_TCGA-BH-A0AY-01A-21R-A00Z-07	0.9696969696969697	0.6153846153846154	0.4	0.01282051282051282
prad_TCGA-EJ-5497-01A-02R-1580-07	0.8727272727272727	0.9230769230769231	0.36363636363636365	0.07692307692307693
blca_TCGA-DK-A3WY-01A-11R-A22U-07	0.9097744360902256	0.5401785714285714	0.4782608695652174	0.049107142857142856
luad_TCGA-55-6986-01A-11R-1949-07	0.8493150684931506	0.8611111111111112	0.25	0.041666666666666664
blca_TCGA-CU-A0YO-01A-11R-A10U-07	0.8313253012048193	0.9324324324324325	0.1875	0.04054054054054054
brca_TCGA-A7-A0D9-01A-31R-A056-07	0.9622641509433962	0.6845637583892618	0.8	0.10738255033557047
brca_TCGA-E2-A1IG-01A-11R-A144-07	0.9333333333333333	0.875	0.6	0.09375
brca_TCGA-BH-A0AU-01A-11R-A12P-07	0.9421487603305785	0.8260869565217391	0.6111111111111112	0.07971014492753623
brca_TCGA-AC-A2FB-01A-11R-A17B-07	0.8461538461538461	0.7096774193548387	0.2222222222222222	0.03225806451612903
blca_TCGA-DK-A6AV-01A-12R-A30C-07	0.9154929577464789	0.8904109589041096	0.4444444444444444	0.0547945205479452
blca_TCGA-BT-A2LD-01A-12R-A20F-07	0.9240506329113924	0.9864864864864865	0.6666666666666666	0.10810810810810811
blca_TCGA-DK-A6B6-01A-11R-A30C-07	0.828125	0.9814814814814815	0.45	0.16666666666666666
blca_TCGA-DK-A3IU-01A-11R-A20F-07	0.7692307692307693	0.9836065573770492	0.3	0.09836065573770492
luad_TCGA-35-4123-01A-01R-1107-07	0.9236111111111112	0.7228260869565217	0.3888888888888889	0.03804347826086957
prad_TCGA-CH-5750-01A-11R-1580-07	0.8774193548387097	0.951048951048951	0.4857142857142857	0.11888111888111888
brca_TCGA-BH-A18S-01A-11R-A12D-07	0.9415584415584416	0.8238636363636364	0.5	0.03977272727272727
brca_TCGA-BH-A1ET-01A-11R-A137-07	0.7666666666666667	0.9787234042553191	0.391304347826087	0.19148936170212766
brca_TCGA-BH-A0BM-01A-11R-A056-07	0.9313984168865436	0.8781094527363185	0.25	0.01990049751243781
luad_TCGA-91-6831-01A-11R-1858-07	0.9581005586592178	0.8553615960099751	0.4166666666666667	0.02493765586034913
prad_TCGA-CH-5768-01A-11R-1580-07	0.9348534201954397	0.6737089201877934	0.32142857142857145	0.02112676056338028
brca_TCGA-BH-A1EO-01A-11R-A137-07	0.8241758241758241	0.974025974025974	0.4827586206896552	0.18181818181818182
blca_TCGA-CU-A0YR-01A-12R-A10U-07	0.9261744966442953	0.8734177215189873	0.4	0.0379746835443038
blca_TCGA-C4-A0EZ-01A-21R-A24X-07	0.9294117647058824	0.8020304568527918	0.25	0.02030456852791878
blca_TCGA-DK-A3IV-01A-22R-A21D-07	0.9357142857142857	0.9225352112676056	0.5294117647058824	0.06338028169014084
brca_TCGA-A7-A0CH-01A-21R-A00Z-07	0.9545454545454546	0.984375	0.625	0.078125
luad_TCGA-05-4410-01A-21R-1858-07	0.9056603773584906	0.6274509803921569	0.6153846153846154	0.10457516339869281
blca_TCGA-DK-A1AC-01A-11R-A13Y-07	0.9230769230769231	0.9056603773584906	0.625	0.09433962264150944
blca_TCGA-BT-A20J-01A-11R-A14Y-07	0.861244019138756	0.6143344709897611	0.45098039215686275	0.07849829351535836
prad_TCGA-HC-7211-01A-11R-2118-07	0.8571428571428571	0.9411764705882353	0.46153846153846156	0.11764705882352941
prad_TCGA-EJ-7315-01A-31R-2118-07	0.8352941176470589	0.6513761467889908	0.25	0.045871559633027525
brca_TCGA-BH-A1EW-01A-11R-A137-07	0.8934426229508197	0.8515625	0.23529411764705882	0.03125
blca_TCGA-CF-A1HR-01A-11R-A13Y-07	0.88	0.13253012048192772	0.6666666666666666	0.03614457831325301
blca_TCGA-DK-A3X2-01A-11R-A22U-07	0.8928571428571429	1.0	0.6842105263157895	0.26
luad_TCGA-50-5933-01A-11R-1755-07	0.8852459016393442	0.9	0.3	0.05
blca_TCGA-BT-A20R-01A-12R-A16R-07	0.9054054054054054	0.366120218579235	0.5333333333333333	0.04371584699453552
prad_TCGA-CH-5746-01A-11R-1580-07	0.9493670886075949	0.7922535211267606	0.4	0.028169014084507043
brca_TCGA-E2-A153-01A-12R-A12D-07	0.959349593495935	0.8805970149253731	0.4444444444444444	0.029850746268656716
luad_TCGA-44-5645-01A-01R-1628-07	0.9176470588235294	0.8764044943820225	0.5	0.07865168539325842
brca_TCGA-AC-A2FM-01A-11R-A19W-07	0.9683544303797469	0.7427184466019418	0.5555555555555556	0.024271844660194174
blca_TCGA-GC-A3WC-01A-31R-A22U-07	0.9447236180904522	0.6372881355932203	0.375	0.020338983050847456
luad_TCGA-35-3615-01A-01R-0946-07	0.8983050847457628	0.49074074074074076	0.3333333333333333	0.023148148148148147
prad_TCGA-EJ-7784-01A-11R-2118-07	0.9078947368421053	0.8313253012048193	0.2	0.018072289156626505
luad_TCGA-55-6982-01A-11R-1949-07	0.881578947368421	0.7790697674418605	0.3076923076923077	0.046511627906976744
blca_TCGA-CF-A3MH-01A-11R-A20F-07	0.8888888888888888	0.7417218543046358	0.3	0.039735099337748346
blca_TCGA-K4-A3WV-01A-11R-A22U-07	0.8936170212765957	0.8484848484848485	0.25	0.030303030303030304
brca_TCGA-E2-A1LB-01A-11R-A144-07	0.9072164948453608	0.8979591836734694	0.6	0.12244897959183673
luad_TCGA-44-2661-01A-01R-1107-07	0.8961038961038961	0.7540983606557377	0.4230769230769231	0.060109289617486336
brca_TCGA-BH-A1FC-01A-11R-A13Q-07	0.9410112359550562	0.881578947368421	0.23809523809523808	0.013157894736842105
blca_TCGA-BT-A20T-01A-11R-A14Y-07	0.9483870967741935	0.8497109826589595	0.3333333333333333	0.017341040462427744
prad_TCGA-EJ-5516-01A-01R-1580-07	0.8333333333333334	0.8791208791208791	0.16666666666666666	0.03296703296703297
brca_TCGA-BH-A18P-01A-11R-A12D-07	0.9135802469135802	0.7047619047619048	0.46153846153846156	0.05714285714285714
brca_TCGA-BH-A0DK-01A-21R-A056-07	0.8735632183908046	0.9743589743589743	0.4117647058823529	0.08974358974358974
prad_TCGA-EJ-5498-01A-01R-1580-07	0.9261744966442953	0.4584717607973422	0.3125	0.016611295681063124
prad_TCGA-EJ-7794-01A-11R-2118-07	0.8225806451612904	0.6754966887417219	0.25925925925925924	0.046357615894039736
blca_TCGA-CF-A47V-01A-11R-A23W-07	0.8085106382978723	0.35023041474654376	0.2916666666666667	0.03225806451612903
prad_TCGA-EJ-5514-01A-01R-1580-07	0.927536231884058	0.7619047619047619	0.2857142857142857	0.015873015873015872
