type	sample	num_disc_conf	total_disc	fraction
blca	TCGA-BL-A0C8-01A-11R-A10U-07	129	157	.82165605095541401273
blca	TCGA-BL-A13I-01A-11R-A13Y-07	90	97	.92783505154639175257
blca	TCGA-BL-A13J-01A-11R-A10U-07	78	86	.90697674418604651162
blca	TCGA-BL-A3JM-01A-12R-A21D-07	103	128	.80468750000000000000
blca	TCGA-BL-A5ZZ-01A-31R-A30C-07	312	317	.98422712933753943217
blca	TCGA-BT-A0S7-01A-11R-A10U-07	52	59	.88135593220338983050
blca	TCGA-BT-A0YX-01A-11R-A10U-07	224	234	.95726495726495726495
blca	TCGA-BT-A20J-01A-11R-A14Y-07	72	79	.91139240506329113924
blca	TCGA-BT-A20N-01A-11R-A14Y-07	74	85	.87058823529411764705
blca	TCGA-BT-A20O-01A-21R-A14Y-07	149	151	.98675496688741721854
blca	TCGA-BT-A20P-01A-11R-A14Y-07	64	68	.94117647058823529411
blca	TCGA-BT-A20Q-01A-11R-A14Y-07	138	143	.96503496503496503496
blca	TCGA-BT-A20R-01A-12R-A16R-07	124	137	.90510948905109489051
blca	TCGA-BT-A20T-01A-11R-A14Y-07	73	79	.92405063291139240506
blca	TCGA-BT-A20U-01A-11R-A14Y-07	74	80	.92500000000000000000
blca	TCGA-BT-A20V-01A-11R-A14Y-07	54	61	.88524590163934426229
blca	TCGA-BT-A20W-01A-21R-A14Y-07	61	75	.81333333333333333333
blca	TCGA-BT-A20X-01A-11R-A16R-07	184	189	.97354497354497354497
blca	TCGA-BT-A2LA-01A-11R-A18C-07	143	157	.91082802547770700636
blca	TCGA-BT-A2LB-01A-11R-A18C-07	176	183	.96174863387978142076
blca	TCGA-BT-A2LD-01A-12R-A20F-07	47	55	.85454545454545454545
blca	TCGA-BT-A3PH-01A-11R-A220-07	402	423	.95035460992907801418
blca	TCGA-BT-A3PJ-01A-21R-A220-07	401	414	.96859903381642512077
blca	TCGA-BT-A3PK-01A-21R-A220-07	426	443	.96162528216704288939
blca	TCGA-BT-A42C-01A-11R-A23N-07	77	89	.86516853932584269662
blca	TCGA-BT-A42E-01A-11R-A23W-07	158	166	.95180722891566265060
blca	TCGA-BT-A42F-01A-11R-A23W-07	197	207	.95169082125603864734
blca	TCGA-C4-A0EZ-01A-21R-A24X-07	142	148	.95945945945945945945
blca	TCGA-C4-A0F0-01A-12R-A10U-07	64	67	.95522388059701492537
blca	TCGA-C4-A0F1-01A-11R-A034-07	153	160	.95625000000000000000
blca	TCGA-C4-A0F6-01A-11R-A10U-07	53	57	.92982456140350877192
blca	TCGA-C4-A0F7-01A-11R-A084-07	293	315	.93015873015873015873
blca	TCGA-CF-A1HR-01A-11R-A13Y-07	102	115	.88695652173913043478
blca	TCGA-CF-A1HS-01A-11R-A13Y-07	109	122	.89344262295081967213
blca	TCGA-CF-A27C-01A-11R-A16R-07	128	134	.95522388059701492537
blca	TCGA-CF-A3MF-01A-12R-A21D-07	166	167	.99401197604790419161
blca	TCGA-CF-A3MG-01A-11R-A20F-07	50	54	.92592592592592592592
blca	TCGA-CF-A3MH-01A-11R-A20F-07	60	65	.92307692307692307692
blca	TCGA-CF-A3MI-01A-11R-A20F-07	183	189	.96825396825396825396
blca	TCGA-CF-A47S-01A-11R-A23W-07	284	291	.97594501718213058419
blca	TCGA-CF-A47T-01A-11R-A23W-07	134	136	.98529411764705882352
blca	TCGA-CF-A47V-01A-11R-A23W-07	178	187	.95187165775401069518
blca	TCGA-CF-A47W-01A-11R-A23W-07	206	209	.98564593301435406698
blca	TCGA-CF-A47X-01A-31R-A23W-07	295	302	.97682119205298013245
blca	TCGA-CF-A47Y-01A-11R-A23W-07	216	225	.96000000000000000000
blca	TCGA-CF-A5U8-01A-11R-A28M-07	166	177	.93785310734463276836
blca	TCGA-CF-A5UA-01A-11R-A28M-07	86	93	.92473118279569892473
blca	TCGA-CU-A0YN-01A-21R-A10U-07	151	160	.94375000000000000000
blca	TCGA-CU-A0YO-01A-11R-A10U-07	99	106	.93396226415094339622
blca	TCGA-CU-A0YR-01A-12R-A10U-07	98	105	.93333333333333333333
blca	TCGA-CU-A3KJ-01A-11R-A21D-07	183	194	.94329896907216494845
blca	TCGA-CU-A3QU-01A-11R-A22U-07	380	398	.95477386934673366834
blca	TCGA-CU-A3YL-01A-11R-A22U-07	173	180	.96111111111111111111
blca	TCGA-CU-A5W6-01A-11R-A28M-07	91	103	.88349514563106796116
blca	TCGA-CU-A72E-01A-12R-A33J-07	105	109	.96330275229357798165
blca	TCGA-DK-A1A3-01A-11R-A13Y-07	78	88	.88636363636363636363
blca	TCGA-DK-A1A5-01A-11R-A13Y-07	301	311	.96784565916398713826
blca	TCGA-DK-A1A6-01A-11R-A13Y-07	151	171	.88304093567251461988
blca	TCGA-DK-A1A7-01A-11R-A13Y-07	217	231	.93939393939393939393
