# e_id	Ind1	Head1	Ind2	Head2	Weight
2	1	True	3	False	72.0
10	6	True	7	False	88.0
19	10	True	13	False	416.0
42	32	True	33	False	80.0
61	48	True	50	False	216.0
73	64	True	66	False	48.0
79	76	True	82	False	8.0
89	85	True	91	True	136.0
95	88	True	89	False	72.0
129	164	False	174	False	8.0
133	166	False	172	False	24.0
134	166	True	172	True	8.0
141	168	False	170	False	16.0
154	179	True	181	False	432.0
167	186	True	551	True	48.0
174	190	True	551	True	120.0
191	214	True	216	False	152.0
226	377	True	379	False	88.0
233	383	True	385	False	712.0
237	390	True	392	False	56.0
251	407	True	408	False	40.0
271	429	True	432	False	32.0
279	442	True	444	False	72.0
292	470	False	938	False	8.0
294	471	True	938	True	328.0
312	495	True	497	False	56.0
350	556	True	558	False	216.0
389	629	True	631	False	72.0
403	645	True	647	False	656.0
417	656	True	658	False	160.0
433	687	True	689	False	104.0
441	706	True	708	False	648.0
448	714	True	715	False	48.0
460	724	True	726	False	240.0
472	740	True	742	False	112.0
483	753	True	757	False	96.0
490	759	True	761	False	344.0
499	769	True	770	False	48.0
504	776	True	778	False	24.0
524	807	True	809	False	136.0
538	818	True	820	False	72.0
570	861	True	863	False	200.0
593	902	True	1231	False	168.0
617	969	True	972	False	96.0
635	1056	True	1057	False	64.0
642	1092	True	1094	False	288.0
654	1099	True	1102	False	776.0
670	1112	True	1114	False	192.0
677	1117	True	1119	False	104.0
686	1121	True	1123	False	56.0
694	1127	True	1129	False	32.0
704	1132	True	1134	False	2040.0
729	1166	True	1168	False	48.0
734	1182	True	1185	False	128.0
756	1221	True	1223	False	128.0
772	1235	True	1237	False	360.0
782	1240	True	1241	False	232.0
800	1268	True	1272	False	128.0
808	1274	True	1276	False	48.0
853	1349	True	1351	False	112.0
863	1358	True	1360	False	376.0
877	1386	True	1388	False	120.0
881	1390	True	1392	False	1632.0
890	1423	True	1425	False	320.0
901	1434	True	1436	False	40.0
911	1455	False	1458	False	72.0
925	1480	False	1485	False	64.0
929	1482	True	1487	True	24.0
